benchmark,condition,axis,index,attention_type,eligible,skipped,softmax_skipped,pv_omitted,compensated,mass_sum,rows,error_sq,dense_sq,denominator_mass_sum,same_budget_best_mass_sum,wrongly_replaced_vs_mass,unnecessarily_retained_vs_mass,physical_sparsity,pv_omission,mass,denominator_mass,relative_error,rescued_rows,prefix_eligible,prefix_skipped,prefix_replaced,canvas_eligible,canvas_skipped,canvas_replaced,boundary_eligible,boundary_skipped,boundary_replaced,softmax_sparsity,compensation_fraction,mass_selection_gap,wrongly_replaced_fraction,rescued_row_rate,prefix_sparsity,canvas_sparsity,boundary_sparsity
ruler8k,blasst_s50,head,0,global,682810.0,460262.0,460262.0,460262.0,0.0,556784.8561439514,683520.0,6069253.5125640035,122994921.6953125,556784.8561439514,571899.0080604553,46919.0,46919.0,0.6740703856123959,0.6740703856123959,0.8145845858847603,0.8145845858847603,0.22213860948534064,0.0,656140.0,456896.0,456896.0,21360.0,3341.0,3341.0,5310.0,25.0,25.0,0.6740703856123959,0.0,0.02211223068308741,0.06871457652934199,0.0,0.6963391959033133,0.1564138576779026,0.004708097928436911
ruler8k,blasst_s50,head,0,local,507300.0,141284.0,141284.0,141284.0,0.0,3124830.359348297,3417600.0,7971247.767246402,339862390.8088989,3124830.359348297,3330866.905685425,58558.0,58558.0,0.27850187265917603,0.27850187265917603,0.9143347259329053,0.9143347259329053,0.15314809537599394,0.0,373800.0,96638.0,96638.0,106800.0,41192.0,41192.0,26700.0,3454.0,3454.0,0.27850187265917603,0.0,0.06028691079621011,0.11543071161048689,0.0,0.2585286249331193,0.38569288389513107,0.1293632958801498
ruler8k,blasst_s50,head,1,global,682810.0,418586.0,418586.0,418586.0,0.0,584239.5293540955,683520.0,3548333.5655884,132401064.78027344,584239.5293540955,601571.0752792358,53047.0,53047.0,0.6130343726658953,0.6130343726658953,0.8547511840971668,0.8547511840971668,0.1637067100961181,0.0,656140.0,413660.0,413660.0,21360.0,4779.0,4779.0,5310.0,147.0,147.0,0.6130343726658953,0.0,0.02535631133710847,0.07768925469750004,0.0,0.630444722162953,0.22373595505617977,0.02768361581920904
ruler8k,blasst_s50,head,1,local,507300.0,149374.0,149374.0,149374.0,0.0,3137746.5003471375,3417600.0,6339052.399725747,324071910.6156616,3137746.5003471375,3332641.815864563,63840.0,63840.0,0.29444904395821014,0.29444904395821014,0.9181140274892139,0.9181140274892139,0.13985934052074386,0.0,373800.0,108049.0,108049.0,106800.0,38008.0,38008.0,26700.0,3317.0,3317.0,0.29444904395821014,0.0,0.05702695327640026,0.1258426966292135,0.0,0.28905564472980205,0.3558801498127341,0.12423220973782771
ruler8k,blasst_s50,head,2,global,682810.0,418594.0,418594.0,418594.0,0.0,571259.9530220032,683520.0,4656223.239660578,127371172.50390625,571259.9530220032,586183.5255699158,51119.0,51119.0,0.6130460889559322,0.6130460889559322,0.835761869472734,0.835761869472734,0.19119711009287674,0.0,656140.0,414621.0,414621.0,21360.0,3971.0,3971.0,5310.0,2.0,2.0,0.6130460889559322,0.0,0.021833410211716697,0.0748656287986409,0.0,0.6319093486146249,0.18590823970037454,0.0003766478342749529
ruler8k,blasst_s50,head,2,local,507300.0,143439.0,143439.0,143439.0,0.0,3106993.283454895,3417600.0,15747307.784080792,332000443.75476074,3106993.283454895,3324280.401512146,58823.0,58823.0,0.2827498521584861,0.2827498521584861,0.9091155440820737,0.9091155440820737,0.21778793941465924,0.0,373800.0,105294.0,105294.0,106800.0,35698.0,35698.0,26700.0,2447.0,2447.0,0.2827498521584861,0.0,0.06357886179109638,0.11595308495958999,0.0,0.28168539325842695,0.334250936329588,0.09164794007490637
ruler8k,blasst_s50,head,3,global,682810.0,542923.0,542923.0,542923.0,0.0,497708.1155433655,683520.0,13277240.111840665,103243702.35498047,497708.1155433655,513086.58741760254,26639.0,26639.0,0.7951304169534716,0.7951304169534716,0.7281544293413001,0.7281544293413001,0.3586097718627326,0.0,656140.0,535988.0,535988.0,21360.0,6621.0,6621.0,5310.0,314.0,314.0,0.7951304169534716,0.0,0.022498934741100568,0.039013781286155735,0.0,0.8168805437863871,0.3099719101123595,0.059133709981167605
ruler8k,blasst_s50,head,3,local,507300.0,147512.0,147512.0,147512.0,0.0,3136522.5411872864,3417600.0,12220394.90538908,347435659.4770508,3136522.5411872864,3335798.0085754395,63678.0,63678.0,0.2907786319731914,0.2907786319731914,0.9177558933717481,0.9177558933717481,0.18754497177392368,0.0,373800.0,107668.0,107668.0,106800.0,37057.0,37057.0,26700.0,2787.0,2787.0,0.2907786319731914,0.0,0.05830859883782569,0.12552335895919575,0.0,0.28803638309256285,0.3469756554307116,0.10438202247191011
ruler8k,blasst_s50,head,4,global,682810.0,488838.0,488838.0,488838.0,0.0,555651.8017654419,683520.0,6942397.451050984,115593748.82617188,555651.8017654419,573440.423789978,37579.0,37579.0,0.7159209736237021,0.7159209736237021,0.8129269103544036,0.8129269103544036,0.2450685393807411,0.0,656140.0,482075.0,482075.0,21360.0,6720.0,6720.0,5310.0,43.0,43.0,0.7159209736237021,0.0,0.026025020518106467,0.055035807911424844,0.0,0.734713628189106,0.3146067415730337,0.008097928436911487
ruler8k,blasst_s50,head,4,local,507300.0,157986.0,157986.0,157986.0,0.0,3143696.6520576477,3417600.0,7112280.318333103,345214724.645813,3143696.6520576477,3343893.6996917725,66643.0,66643.0,0.3114251921939681,0.3114251921939681,0.9198550597078792,0.9198550597078792,0.14353564883238848,0.0,373800.0,118508.0,118508.0,106800.0,36567.0,36567.0,26700.0,2911.0,2911.0,0.3114251921939681,0.0,0.05857825597908613,0.13136802680859452,0.0,0.317035848047084,0.3423876404494382,0.10902621722846442
