condition,task,target,count,accuracy,dense_accuracy,delta,paired_ci95,matching_tokens,compared_tokens,token_agreement,sequence_exact_match,relative_accuracy,length_terminated,empty_outputs,overall_eligible,overall_skipped,overall_softmax_skipped,overall_pv_omitted,overall_compensated,overall_mass_sum,overall_rows,overall_error_sq,overall_dense_sq,overall_denominator_mass_sum,overall_same_budget_best_mass_sum,overall_wrongly_replaced_vs_mass,overall_unnecessarily_retained_vs_mass,overall_physical_sparsity,overall_pv_omission,overall_mass,overall_denominator_mass,overall_relative_error,overall_rescued_rows,overall_prefix_eligible,overall_prefix_skipped,overall_prefix_replaced,overall_canvas_eligible,overall_canvas_skipped,overall_canvas_replaced,overall_boundary_eligible,overall_boundary_skipped,overall_boundary_replaced,overall_softmax_sparsity,overall_compensation_fraction,overall_mass_selection_gap,overall_wrongly_replaced_fraction,overall_rescued_row_rate,overall_prefix_sparsity,overall_canvas_sparsity,overall_boundary_sparsity,global_eligible,global_skipped,global_softmax_skipped,global_pv_omitted,global_compensated,global_mass_sum,global_rows,global_error_sq,global_dense_sq,global_denominator_mass_sum,global_same_budget_best_mass_sum,global_wrongly_replaced_vs_mass,global_unnecessarily_retained_vs_mass,global_physical_sparsity,global_pv_omission,global_mass,global_denominator_mass,global_relative_error,global_rescued_rows,global_prefix_eligible,global_prefix_skipped,global_prefix_replaced,global_canvas_eligible,global_canvas_skipped,global_canvas_replaced,global_boundary_eligible,global_boundary_skipped,global_boundary_replaced,global_softmax_sparsity,global_compensation_fraction,global_mass_selection_gap,global_wrongly_replaced_fraction,global_rescued_row_rate,global_prefix_sparsity,global_canvas_sparsity,global_boundary_sparsity,local_eligible,local_skipped,local_softmax_skipped,local_pv_omitted,local_compensated,local_mass_sum,local_rows,local_error_sq,local_dense_sq,local_denominator_mass_sum,local_same_budget_best_mass_sum,local_wrongly_replaced_vs_mass,local_unnecessarily_retained_vs_mass,local_physical_sparsity,local_pv_omission,local_mass,local_denominator_mass,local_relative_error,local_rescued_rows,local_prefix_eligible,local_prefix_skipped,local_prefix_replaced,local_canvas_eligible,local_canvas_skipped,local_canvas_replaced,local_boundary_eligible,local_boundary_skipped,local_boundary_replaced,local_softmax_sparsity,local_compensation_fraction,local_mass_selection_gap,local_wrongly_replaced_fraction,local_rescued_row_rate,local_prefix_sparsity,local_canvas_sparsity,local_boundary_sparsity,overall_mass_sample_p10_p50_p90,overall_relative_error_sample_p10_p50_p90,overall_physical_sparsity_sample_p10_p50_p90,global_mass_sample_p10_p50_p90,global_relative_error_sample_p10_p50_p90,global_physical_sparsity_sample_p10_p50_p90,local_mass_sample_p10_p50_p90,local_relative_error_sample_p10_p50_p90,local_physical_sparsity_sample_p10_p50_p90
dense,niah_single_1,0.0,10,1.0,1.0,0.0,"[0.0, 0.0]",291,291,1.0,1.0,1.0,0,0,1337440.0,0.0,0.0,0.0,0.0,4546560.0,4546560.0,0.0,535887497.52874756,4546560.0,4546560.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1159840.0,0.0,0.0,142080.0,0.0,0.0,35520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775040.0,0.0,0.0,0.0,0.0,757760.0,757760.0,0.0,142408366.45996094,757760.0,757760.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,745440.0,0.0,0.0,23680.0,0.0,0.0,5920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562400.0,0.0,0.0,0.0,0.0,3788800.0,3788800.0,0.0,393479131.0687866,3788800.0,3788800.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,414400.0,0.0,0.0,118400.0,0.0,0.0,29600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
dense,niah_single_2,0.0,10,1.0,1.0,0.0,"[0.0, 0.0]",283,283,1.0,1.0,1.0,0,0,1064000.0,0.0,0.0,0.0,0.0,3686400.0,3686400.0,0.0,402876964.0648804,3686400.0,3686400.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,920000.0,0.0,0.0,115200.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608000.0,0.0,0.0,0.0,0.0,614400.0,614400.0,0.0,100384615.52246094,614400.0,614400.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,584000.0,0.0,0.0,19200.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456000.0,0.0,0.0,0.0,0.0,3072000.0,3072000.0,0.0,302492348.54241943,3072000.0,3072000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,336000.0,0.0,0.0,96000.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
dense,niah_single_3,0.0,10,1.0,1.0,0.0,"[0.0, 0.0]",547,547,1.0,1.0,1.0,0,0,1265600.0,0.0,0.0,0.0,0.0,4300800.0,4300800.0,0.0,467894988.74884033,4300800.0,4300800.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1097600.0,0.0,0.0,134400.0,0.0,0.0,33600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733600.0,0.0,0.0,0.0,0.0,716800.0,716800.0,0.0,118482530.6225586,716800.0,716800.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,705600.0,0.0,0.0,22400.0,0.0,0.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532000.0,0.0,0.0,0.0,0.0,3584000.0,3584000.0,0.0,349412458.12628174,3584000.0,3584000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,392000.0,0.0,0.0,112000.0,0.0,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
dense,niah_multikey_1,0.0,10,1.0,1.0,0.0,"[0.0, 0.0]",287,287,1.0,1.0,1.0,0,0,858240.0,0.0,0.0,0.0,0.0,2949120.0,2949120.0,0.0,320641508.25531006,2949120.0,2949120.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,743040.0,0.0,0.0,92160.0,0.0,0.0,23040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493440.0,0.0,0.0,0.0,0.0,491520.0,491520.0,0.0,79275245.42138672,491520.0,491520.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,474240.0,0.0,0.0,15360.0,0.0,0.0,3840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364800.0,0.0,0.0,0.0,0.0,2457600.0,2457600.0,0.0,241366262.83392334,2457600.0,2457600.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,268800.0,0.0,0.0,76800.0,0.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
dense,niah_multikey_2,0.0,10,1.0,1.0,0.0,"[0.0, 0.0]",289,289,1.0,1.0,1.0,0,0,994560.0,0.0,0.0,0.0,0.0,3440640.0,3440640.0,0.0,380044124.7774658,3440640.0,3440640.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,860160.0,0.0,0.0,107520.0,0.0,0.0,26880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568960.0,0.0,0.0,0.0,0.0,573440.0,573440.0,0.0,97169500.46679688,573440.0,573440.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,546560.0,0.0,0.0,17920.0,0.0,0.0,4480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425600.0,0.0,0.0,0.0,0.0,2867200.0,2867200.0,0.0,282874624.31066895,2867200.0,2867200.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,313600.0,0.0,0.0,89600.0,0.0,0.0,22400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
dense,niah_multikey_3,0.0,10,1.0,1.0,0.0,"[0.0, 0.0]",827,827,1.0,1.0,1.0,0,0,1400000.0,0.0,0.0,0.0,0.0,4792320.0,4792320.0,0.0,537092111.4506226,4792320.0,4792320.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1213600.0,0.0,0.0,149760.0,0.0,0.0,36640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807200.0,0.0,0.0,0.0,0.0,798720.0,798720.0,0.0,141493182.54882812,798720.0,798720.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,776800.0,0.0,0.0,24960.0,0.0,0.0,5440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592800.0,0.0,0.0,0.0,0.0,3993600.0,3993600.0,0.0,395598928.90179443,3993600.0,3993600.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,436800.0,0.0,0.0,124800.0,0.0,0.0,31200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
dense,niah_multivalue,0.0,10,1.0,1.0,0.0,"[0.0, 0.0]",830,830,1.0,1.0,1.0,0,0,1699520.0,0.0,0.0,0.0,0.0,5775360.0,5775360.0,0.0,612380649.033081,5775360.0,5775360.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1473920.0,0.0,0.0,180480.0,0.0,0.0,45120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985120.0,0.0,0.0,0.0,0.0,962560.0,962560.0,0.0,156356523.77246094,962560.0,962560.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,947520.0,0.0,0.0,30080.0,0.0,0.0,7520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714400.0,0.0,0.0,0.0,0.0,4812800.0,4812800.0,0.0,456024125.2606201,4812800.0,4812800.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,526400.0,0.0,0.0,150400.0,0.0,0.0,37600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
dense,niah_multiquery,0.0,10,1.0,1.0,0.0,"[0.0, 0.0]",1076,1076,1.0,1.0,1.0,0,0,1434080.0,0.0,0.0,0.0,0.0,5038080.0,5038080.0,0.0,539911038.4128418,5038080.0,5038080.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1237280.0,0.0,0.0,157440.0,0.0,0.0,39360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810880.0,0.0,0.0,0.0,0.0,839680.0,839680.0,0.0,143891978.54882812,839680.0,839680.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,778080.0,0.0,0.0,26240.0,0.0,0.0,6560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623200.0,0.0,0.0,0.0,0.0,4198400.0,4198400.0,0.0,396019059.8640137,4198400.0,4198400.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,459200.0,0.0,0.0,131200.0,0.0,0.0,32800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
dense,vt,0.0,10,0.0,0.0,0.0,"[0.0, 0.0]",300,300,1.0,1.0,,10,0,1489120.0,0.0,0.0,0.0,0.0,5038080.0,5038080.0,0.0,579522024.5284424,5038080.0,5038080.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1292320.0,0.0,0.0,157440.0,0.0,0.0,39360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865920.0,0.0,0.0,0.0,0.0,839680.0,839680.0,0.0,151419842.62939453,839680.0,839680.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,833120.0,0.0,0.0,26240.0,0.0,0.0,6560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623200.0,0.0,0.0,0.0,0.0,4198400.0,4198400.0,0.0,428102181.89904785,4198400.0,4198400.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,459200.0,0.0,0.0,131200.0,0.0,0.0,32800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
dense,cwe,0.0,10,1.0,1.0,0.0,"[0.0, 0.0]",631,631,1.0,1.0,1.0,0,0,3164960.0,0.0,0.0,0.0,0.0,10813440.0,10813440.0,0.0,1163661126.6875,10813440.0,10813440.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2742560.0,0.0,0.0,337920.0,0.0,0.0,84480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827360.0,0.0,0.0,0.0,0.0,1802240.0,1802240.0,0.0,303050839.8129883,1802240.0,1802240.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1756960.0,0.0,0.0,56320.0,0.0,0.0,14080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337600.0,0.0,0.0,0.0,0.0,9011200.0,9011200.0,0.0,860610286.8745117,9011200.0,9011200.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,985600.0,0.0,0.0,281600.0,0.0,0.0,70400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
